21 December 2019,Aston Villa vs Southampton,Premier League,2 or 3 Goals
21 December 2019,Brighton & Hove Albion vs Sheffield United,Premier League,2 or 3 Goals
21 December 2019,Manchester City vs Leicester City,Premier League,2 or 3 Goals
21 December 2019,Newcastle United vs Crystal Palace,Premier League,2 or 3 Goals
26 December 2019,Aston Villa vs Norwich City,Premier League,2 or 3 Goals
26 December 2019,Leicester City vs Liverpool,Premier League,2 or 3 Goals
26 December 2019,Sheffield United vs Watford,Premier League,2 or 3 Goals
29 December 2019,Liverpool vs Wolverhampton Wanderers,Premier League,2 or 3 Goals
29 December 2019,Manchester City vs Sheffield United,Premier League,2 or 3 Goals
28 December 2019,Newcastle United vs Everton,Premier League,2 or 3 Goals
28 December 2019,Southampton vs Crystal Palace,Premier League,2 or 3 Goals
26 December 2019,Rochdale vs Fleetwood Town,League One,2 or 3 Goals
21 December 2019,Luton Town vs Swansea City,Championship,2 or 3 Goals
26 December 2019,Stoke City vs Sheffield Wednesday,Championship,2 or 3 Goals
26 December 2019,Wigan Athletic vs Derby County,Championship,2 or 3 Goals
29 December 2019,Huddersfield Town vs Blackburn Rovers,Championship,2 or 3 Goals
26 December 2019,Swindon Town vs Cambridge United,League Two,2 or 3 Goals
29 December 2019,Walsall vs Carlisle United,League Two,2 or 3 Goals
26 December 2019,Guiseley vs Farsley Celtic,National League CHANGE,2 or 3 Goals
21 December 2019,Hampton & Richmond vs Slough Town,National League CHANGE,2 or 3 Goals
21 December 2019,Weymouth vs St Albans City,National League CHANGE,2 or 3 Goals
28 December 2019,Hemel Hempstead Town vs Slough Town,National League CHANGE,2 or 3 Goals
21 December 2019,Celtic vs Aberdeen,Scotland Premier,2 or 3 Goals
26 December 2019,St. Mirren vs Celtic,Scotland Premier,2 or 3 Goals
21 December 2019,Queen of the South vs Arbroath,Scotland Championship,2 or 3 Goals
28 December 2019,Ayr United vs Queen of the South,Scotland Championship,2 or 3 Goals
27 December 2019,Dundee United vs Dundee,Scotland Championship,2 or 3 Goals
21 December 2019,Albion Rovers vs Annan Athletic,Scotland League Two,2 or 3 Goals
21 December 2019,Benevento vs Frosinone,Serie B,2 or 3 Goals
26 December 2019,Livorno vs Pescara,Serie B,2 or 3 Goals
26 December 2019,Virtus Entella vs Spezia,Serie B,2 or 3 Goals
29 December 2019,Pisa vs Frosinone,Serie B,2 or 3 Goals
22 December 2019,Fortuna Dusseldorf vs Union Berlin,Bundesliga,2 or 3 Goals
21 December 2019,Eintracht Braunschweig vs Magdeburg,3. Liga,2 or 3 Goals
21 December 2019,Sparta Rotterdam vs AZ,Eredivisie,2 or 3 Goals
22 December 2019,Groningen vs Emmen,Eredivisie,2 or 3 Goals
22 December 2019,Gent vs Club Brugge,Belgium Pro,2 or 3 Goals
21 December 2019,Cercle Brugge vs Zulte-Waregem,Belgium Pro,2 or 3 Goals
26 December 2019,Club Brugge vs Zulte-Waregem,Belgium Pro,2 or 3 Goals
26 December 2019,Standard Liège vs Gent,Belgium Pro,2 or 3 Goals
26 December 2019,Kortrijk vs Cercle Brugge,Belgium Pro,2 or 3 Goals
28 December 2019,Istanbul Basaksehir vs Kasımpaşa,Super-Lig,2 or 3 Goals
22 December 2019,Volos NFC vs Olympiakos Piraeus,Hellas Liga,2 or 3 Goals
22 December 2019,Panaitolikos vs OFI,Hellas Liga,2 or 3 Goals
28 December 2019,Western United vs Wellington Phoenix,A-League,2 or 3 Goals
